passenger_name,tpep_pickup_datetime,tpep_dropoff_datetime,payment_method,passenger_count,trip_distance,fare_amount,tip_amount,tolls_amount
Pamela Duffy,14.066666666666666,2017-03-25 09:09:47,Card,6,3.34,13.0,2.76,0.0
Michelle Foster,26.5,2017-04-11 15:19:58,Card,1,1.8,16.0,4.0,0.0
Tina Combs,7.2,2017-12-15 07:34:08,Card,1,1.0,6.5,1.45,0.0
Anthony Ray,30.25,2017-05-07 13:48:14,Cash,1,3.7,20.5,6.39,0.0
Brianna Johnson,16.716666666666665,2017-04-15 23:49:03,Card,1,4.37,16.5,0.0,0.0
Justin Smith,8.0,2017-03-25 20:42:11,Card,6,2.3,9.0,2.06,0.0
Hannah Foley,21.983333333333334,2017-08-15 18:03:05,Card,1,2.98,16.0,1.78,0.0
Katie Whitney,12.116666666666667,2017-02-04 16:29:14,Cash,1,1.2,9.0,0.0,0.0
Amanda Jones,20.433333333333334,2017-11-10 15:40:55,Cash,1,1.6,13.0,2.75,0.0
Cory Jensen,15.2,2017-03-04 12:13:12,Cash,1,1.77,11.5,2.46,0.0
Ryan Reyes,19.75,2017-06-09 19:20:11,Card,1,3.0,15.0,3.35,0.0
Jessica Mooney,7.866666666666666,2017-11-06 23:42:57,Card,1,2.39,9.5,2.16,0.0
Heidi May,24.316666666666666,2017-02-22 15:42:50,Cash,1,3.3,17.5,4.55,0.0
Anthony Richard,16.133333333333333,2017-06-02 06:57:47,Card,1,5.93,19.0,3.0,0.0
Sarah Gross,12.483333333333333,2017-08-15 20:00:37,Cash,1,3.6,12.5,2.85,0.0
Sarah Gross,12.483333333333333,2017-08-15 20:00:37,Cash,1,3.6,12.5,2.85,0.0
Susan Robinson,12.2,2017-07-10 13:48:43,Cash,2,1.71,9.5,0.0,0.0
Cynthia Mendoza,4.683333333333334,2017-04-10 18:17:39,Cash,2,0.63,5.0,0.0,0.0
Zachary James,13.066666666666666,2017-03-05 04:14:11,Card,2,2.77,11.5,3.2,0.0
Marissa Scott,6.216666666666667,2017-12-30 23:58:57,Card,1,1.1,6.5,0.0,0.0
Krista Stewart,6.5,2017-01-06 20:18:37,Cash,1,0.52,5.5,1.0,0.0
Mike Taylor,5.383333333333334,2017-06-27 00:13:45,Card,1,1.7,7.0,2.05,0.0
Heather Johnson,4.633333333333334,2017-02-13 10:34:11,Cash,1,0.9,5.5,1.25,0.0
Tiffany Ramirez,7.283333333333333,2017-01-14 20:05:59,Card,1,1.72,8.0,2.79,0.0
James Taylor,16.1,2017-11-04 01:44:05,Card,1,2.7,13.0,2.85,0.0
Gabriela Bryan,4.733333333333333,2017-11-24 10:52:57,Cash,1,0.85,5.5,0.0,0.0
Janet Hogan MD,14.583333333333334,2017-11-22 10:38:52,Cash,1,2.3,11.0,2.35,0.0
Jessica Cohen,12.633333333333333,2017-08-09 21:14:28,Cash,1,2.3,10.5,1.77,0.0
Katherine Martin,11.55,2017-04-12 11:19:29,Cash,4,1.5,9.0,0.0,0.0
Adrienne Mitchell,22.916666666666668,2017-10-26 20:06:02,Cash,1,2.9,15.5,3.45,0.0
Michael Murphy,13.15,2017-03-04 18:32:13,Card,1,1.7,10.5,1.7,0.0
Benjamin Walls,8.233333333333333,2017-11-05 01:43:39,Cash,5,2.69,9.5,0.0,0.0
Steven Valdez,4.466666666666667,2017-02-24 11:29:18,Card,1,0.6,5.0,0.0,0.0
Craig Cook,13.85,2017-02-23 08:18:48,Cash,1,2.11,11.5,2.46,0.0
Amanda Burns MD,3.283333333333333,2017-02-12 18:48:58,Cash,4,0.4,4.0,0.72,0.0
Gregory Stevens,8.716666666666667,2017-12-08 12:30:38,Cash,1,1.28,7.5,5.0,0.0
Jennifer Allen,13.25,2017-09-15 19:23:06,Card,3,1.23,9.5,2.26,0.0
Heather Leonard,8.9,2017-02-25 07:50:26,Cash,1,2.0,9.0,1.95,0.0
Dr. Christy Velasquez,16.35,2017-12-08 08:15:32,Cash,1,4.52,16.5,2.0,0.0
Jasmin Oconnell,6.533333333333333,2017-04-26 11:24:59,Cash,2,1.12,6.5,1.82,0.0
Jasmine Hull,5.0,2017-02-15 17:35:24,Card,1,0.59,5.0,1.36,0.0
Grace Duran,9.933333333333334,2017-08-14 17:25:28,Card,1,1.5,8.5,2.55,0.0
Lauren Wilson,15.083333333333334,2017-09-05 15:25:25,Cash,4,1.71,10.5,0.0,0.0
Daniel Thompson,10.5,2017-03-11 04:57:02,Card,6,2.69,11.0,0.0,0.0
Kayla Navarro,1.4,2017-04-27 07:28:21,Cash,1,0.42,3.5,0.86,0.0
Benjamin Johnson,13.45,2017-04-04 16:35:30,Cash,1,2.2,,0.0,0.0
Erin Parker,27.983333333333334,2017-01-05 15:24:31,Cash,2,2.6,17.5,0.0,0.0
Cynthia Garcia,3.283333333333333,2017-03-28 19:13:20,Cash,1,0.8,4.5,1.26,0.0
Eduardo Brown,22.75,2017-09-01 10:00:14,Card,1,2.9,16.0,0.0,0.0
Luis Martin,22.716666666666665,2017-02-10 12:09:43,Card,1,2.7,15.5,4.05,0.0
Stephen Huffman,9.433333333333334,2017-03-07 20:29:08,Cash,2,2.51,10.0,3.39,0.0
Aaron Pham,8.233333333333333,2017-03-18 12:20:32,Card,1,0.78,7.0,0.0,0.0
Michelle Hughes,2.7333333333333334,2017-03-03 08:05:43,Card,1,0.85,4.5,1.59,0.0
Bonnie Henderson,2.45,2017-04-26 18:11:08,Cash,5,0.38,4.0,1.16,0.0
Kaitlin Watkins,9.8,2017-04-21 15:18:09,Cash,1,1.15,8.0,1.76,0.0
Manuel Dickson,3.066666666666667,2017-10-05 09:42:32,Card,36,0.22,21.5,0.0,0.0
John Tucker,4.483333333333333,2017-03-17 09:21:34,Card,1,0.7,5.0,1.15,0.0
Maria Williams,3.6666666666666665,2017-12-31 13:06:52,Cash,6,0.71,4.5,0.0,0.0
Thomas Johnson,48.63333333333333,2017-12-12 12:01:01,Cash,1,3.1,28.0,5.76,0.0
Steven Parker,15.483333333333333,2017-09-03 23:31:25,Cash,2,2.96,13.0,2.86,0.0
Scott Rodriguez,5.5,2017-12-13 07:11:40,Card,1,0.8,5.5,1.0,0.0
Timothy Payne,4.333333333333333,2017-08-01 18:14:05,Card,1,0.96,5.5,0.0,0.0
Angela Holder,14.266666666666667,2017-10-10 14:54:27,Card,4,1.9,10.5,0.0,0.0
Jennifer Martin,6.116666666666666,2017-08-05 22:34:13,Card,4,0.97,6.5,0.0,0.0
Chris Jones,3.55,2017-08-13 03:53:43,Card,2,0.95,5.0,1.0,0.0
Kelly Reed,4.75,2017-04-25 22:25:28,Cash,4,1.02,6.0,1.46,0.0
Stephanie Mcdaniel,5.033333333333333,2017-05-01 09:47:29,Cash,1,0.78,5.0,1.0,0.0
Daniel Cruz,8.333333333333334,2017-06-03 19:03:22,Cash,6,1.16,7.0,1.95,0.0
James Thomas,21.216666666666665,2017-04-16 03:04:48,Card,3,4.3,17.5,2.22,0.0
Courtney Taylor,11.233333333333333,2017-02-25 13:15:41,Card,1,1.9,9.5,2.55,0.0
Holly Maldonado,6.366666666666666,2017-01-10 21:13:20,Card,1,2.0,8.0,0.0,0.0
Rhonda Harris,12.283333333333333,2017-11-16 09:43:17,Card,2,1.02,8.5,1.86,0.0
John Fisher,16.2,2017-10-28 04:33:06,Card,3,5.11,16.5,5.34,0.0
Amy Edwards,7.633333333333334,2017-10-13 15:56:17,Cash,1,0.96,6.5,0.0,0.0
Katherine Briggs,7.4,2017-09-20 23:54:08,Cash,1,1.9,8.0,1.86,0.0
Richard Gregory,8.9,2017-07-29 13:36:28,Cash,1,1.6,8.0,1.0,0.0
Kristi Ray,3.566666666666667,2017-09-06 11:40:44,Card,1,0.4,4.5,0.0,0.0
Amy Baker,3.85,2017-09-28 07:21:35,Cash,1,0.9,5.0,1.0,0.0
Angela Smith,17.266666666666666,2017-08-18 01:34:48,Card,1,4.96,17.0,3.66,0.0
Karen Carpenter DVM,11.416666666666666,2017-02-28 18:13:30,Cash,1,4.9,16.0,5.3,0.0
Teresa Phillips,24.916666666666668,2017-05-06 15:19:17,Card,1,2.9,17.5,0.0,0.0
Rebecca Graham,8.7,2017-07-15 00:37:09,Cash,2,1.62,8.0,1.0,0.0
Alyssa Zuniga,23.133333333333333,2017-02-11 19:32:20,Cash,1,1.7,14.5,1.0,0.0
Daniel Thomas,7.066666666666666,2017-06-23 20:00:57,Cash,2,0.88,6.5,0.5,0.0
Tony Love,7.8,2017-03-26 20:14:43,Cash,1,1.46,7.0,1.24,0.0
James Ponce,13.15,2017-07-27 10:23:13,Card,1,1.66,10.0,1.2,0.0
Kimberly Cole,11.716666666666667,2017-12-11 20:16:10,Cash,1,1.63,9.5,2.16,0.0
Dr. Daniel Davidson,7.516666666666667,2017-03-18 23:49:21,Cash,1,1.42,7.0,0.0,0.0
Angelica Barker,11.4,2017-02-07 09:07:32,Cash,1,0.72,8.0,0.0,0.0
Denise Clements,16.3,2017-05-24 21:02:29,Card,1,2.3,12.5,2.75,0.0
Brian West,23.583333333333332,2017-02-15 20:39:44,Cash,1,4.7,18.5,3.0,0.0
Harold Myers,31.6,2017-09-29 12:10:34,Cash,1,3.5,19.5,0.0,0.0
Michelle Smith,15.4,2017-08-16 09:46:07,Cash,1,2.7,12.5,0.0,0.0
Peter Sanchez,10.0,2017-06-13 19:27:33,Card,2,1.07,8.0,0.0,0.0
Matthew Torres,18.25,2017-08-05 16:00:35,Card,2,2.3,13.0,0.0,0.0
Danielle Hall,16.183333333333334,2017-04-10 22:33:30,Cash,6,2.95,13.5,0.0,0.0
Angelica Savage,12.216666666666667,2017-09-28 21:30:03,Card,1,1.8,9.5,0.0,0.0
Bradley Wright,3.7333333333333334,2017-04-01 03:00:35,Card,6,0.63,4.5,1.16,0.0
Miranda Gilmore,7.333333333333333,2017-10-21 19:34:31,Card,2,1.3,7.0,0.0,0.0
Maria Perry,10.0,2017-12-29 17:32:05,Cash,6,3.22,11.5,3.32,0.0
